UID        PID  PPID  C STIME TTY          TIME CMD
root       730     2  0 20:53 ?        00:00:00 [kworker/u17:3-hci0]
root       733     2  0 20:53 ?        00:00:01 [irq/51-DLL07B0:]
root       741     2  0 20:53 ?        00:00:00 [nvkm-disp]
root       806     2  0 20:53 ?        00:00:00 [ttm_swap]
root       837     1  0 20:53 ?        00:00:00 /nix/store/0kvqgv2gvf1w3ip3zba6m2nj6ci9cpal-bluez-5.55/libexec/bluetooth/bluetoothd
localti+   843     1  0 20:53 ?        00:00:00 /nix/store/07cn84c4mp2pv7vhqnfklyvwlb8f8cc7-localtime-2017-11-07/bin/localtimed
message+   846     1  0 20:53 ?        00:00:06 /nix/store/7lvlrg8ij6y0lplm7w91wyhy2glxyqqi-dbus-1.12.20/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       864     1  0 20:53 ?        00:00:00 /nix/store/bcms9h8wai9dbqkv0qwknq0qq7fxwcbz-accountsservice-0.6.55/libexec/accounts-daemon
root       868     1  0 20:53 ?        00:00:00 /nix/store/q6ylicsava582g55mdx0788yg2fib7js-systemd-246.6/lib/systemd/systemd-logind
root       922     1  0 20:53 ?        00:00:08 /nix/store/nzjsk3bd0klz99s932h7xhfxyggz6y5j-network-manager-1.26.0/sbin/NetworkManager --no-daemon
geoclue    946     1  0 20:53 ?        00:00:05 /nix/store/wyvyad3wyswr8n5bpvc99w0vv6658nj6-geoclue-2.5.6/libexec/geoclue
polkitu+   952     1  0 20:53 ?        00:00:00 /nix/store/x31cfs4anl1wavadf7hjfm71ddarz3dg-polkit-0.116/lib/polkit-1/polkitd --no-debug
root       988     1  0 20:53 ?        00:00:02 /nix/store/wmsnhzgc9xri2bijqcs7zzldkf94apxm-wpa_supplicant-2.9/sbin//wpa_supplicant -u
root      1001     1  0 20:53 ?        00:00:00 /nix/store/bp112r0j0dqbvw8dyrpqy9yw3fkmmbha-modem-manager-1.12.10/sbin/ModemManager --filter-policy=STRICT
root      1035     1  0 20:53 tty1     00:00:00 agetty --login-program /nix/store/2baphr6hr3hwx9hzss17rk4z8qvvr27d-shadow-4.8.1/bin/login --noclear --keep-baud tty1 115200,38400,9600 linux
root      1037     1  0 20:53 ?        00:00:00 /nix/store/nga3xarcpfwrl98kc3cx1791jrdf50na-lightdm-1.30.0/sbin/lightdm
can       1135     1  0 20:53 ?        00:00:00 /nix/store/q6ylicsava582g55mdx0788yg2fib7js-systemd-246.6/lib/systemd/systemd --user
can       1136  1135  0 20:53 ?        00:00:00 (sd-pam)
